name,Gender,Eye color,Race,Hair color,Height,Publisher,Alignment,Weight
Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,good,90.0
Adam Strange,Male,blue,Human,Blond,185,DC Comics,good,88.0
Alan Scott,Male,blue,-,Blond,180,DC Comics,good,90.0
Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,good,72.0
Amazo,Male,red,Android,-,257,DC Comics,bad,173.0
Animal Man,Male,blue,Human,Blond,183,DC Comics,good,83.0
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,bad,
Aquababy,Male,blue,-,Blond,-99,DC Comics,good,
Aqualad,Male,blue,Atlantean,Black,178,DC Comics,good,106.0
Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,good,146.0
Arsenal,Male,-,Human,-,-99,DC Comics,good,
Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,bad,126.0
Atom,Male,blue,-,Red,178,DC Comics,good,68.0
Atom,Male,-,-,-,-99,DC Comics,good,
Atom Girl,Female,black,-,Black,168,DC Comics,good,54.0
Atom II,Male,brown,Human,Auburn,183,DC Comics,good,81.0
Atom III,Male,-,-,Red,-99,DC Comics,good,
Atom IV,Male,brown,-,Black,-99,DC Comics,good,72.0
Azrael,Male,brown,Human,Black,-99,DC Comics,good,
Aztar,Male,-,-,-,-99,DC Comics,good,
Bane,Male,-,Human,-,203,DC Comics,bad,180.0
Batgirl,Female,-,-,-,-99,DC Comics,good,
Batgirl,Female,green,Human,Red,170,DC Comics,good,57.0
Batgirl III,Female,-,-,-,-99,DC Comics,good,
Batgirl IV,Female,green,Human,Black,165,DC Comics,good,52.0
Batgirl V,Female,-,-,-,-99,DC Comics,good,
Batgirl VI,Female,blue,-,Blond,168,DC Comics,good,61.0
Batman,Male,blue,Human,black,188,DC Comics,good,95.0
Batman,Male,blue,Human,Black,178,DC Comics,good,77.0
Batman II,Male,blue,Human,Black,178,DC Comics,good,79.0
Batwoman V,Female,green,Human,Red,178,DC Comics,good,
Beast Boy,Male,green,Human,Green,173,DC Comics,good,68.0
Ben 10,Male,-,-,-,-99,DC Comics,good,
Big Barda,Female,blue,New God,Black,188,DC Comics,bad,135.0
Bizarro,Male,black,Bizarro,Black,191,DC Comics,neutral,155.0
Black Adam,Male,brown,-,Black,191,DC Comics,bad,113.0
